hanzi,pinyin,english
流露,liu2 lu4,"to express, to reveal (one's thoughts or feelings),"
啟程,qi3 cheng2,"to set out on a journey,"
傾斜,qing1 xie2,"to incline, to lean, to slant, to slope, to tilt,"
瘸,que2,"lame,"
相應,xiang1 ying4,"to correspond, answering (one another), to agree (among the part), corresponding, relevant, appropriate, (modify) accordingly,"
承辦,cheng2 ban4,"to undertake, to accept a contract,"
倒閉,dao3 bi4,"to go bankrupt, to close down,"
混淆,hun4 xiao2,"to obscure, to confuse, to mix up, to blur, to mislead,"
機動,ji1 dong4,"locomotive, motorized, power-driven, adaptable, flexible (use, treatment, timing etc),"
氣概,qi4 gai4,"lofty quality, mettle, spirit,"
事跡,shi4 ji4,"deed, past achievement, important event of the past,"
搖晃,yao2 huang4,"to rock, to shake, to sway,"
遺失,yi2 shi1,"to lose, lost,"
冤枉,yuan1 wang5,"hatred, injustice, bad luck, unjust treatment, wronged, not worthwhile,"
逼迫,bi1 po4,"to force, to compel, to coerce,"
富裕,Fu4 yu4,"prosperous, well-to-do, well-off,"
禮節,li3 jie2,"etiquette,"
書籍,shu1 ji2,"books, works,"
表決,biao3 jue2,"to decide by vote, to vote,"
惦記,dian4 ji4,"to think of, to keep thinking about, to be concerned about,"
和藹,he2 ai3,"kindly, nice, amiable,"
枯燥,ku1 zao4,"dry and dull, uninteresting, dry-as-dust,"
皮革,pi2 ge2,"leather, CL:張|张[zhāng],"
平原,ping2 yuan2,"field, plain, CL:個|个[gè],"
盛,Sheng4,"to hold, to contain, to ladle, to pick up with a utensil,"
公告,gong1 gao4,"post, announcement,"
記性,ji4 xing5,"memory,"
衰老,shuai1 lao3,"to age, to deteriorate with age, old and weak,"
正規,zheng4 gui1,"regular, according to standards,"
粉末,fen3 mo4,"fine powder, dust,"
平面,ping2 mian4,"plane (flat surface), print media,"
掀起,xian1 qi3,"to lift, to raise in height, to begin, upsurge, to set off (a campaign),"
轉達,zhuan3 da2,"to pass on, to convey, to communicate,"
愛戴,ai4 dai4,"to love and respect, love and respect,"
貶低,bian3 di1,"to belittle, to disparage, to play down, to demean, to degrade, to devalue,"
空洞,kong1 dong4,"cavity, empty, vacuous,"
冷淡,leng3 dan4,"cold, indifferent,"
猛烈,meng3 lie4,"fierce, violent (criticism etc),"
探討,tan4 tao3,"to investigate, to probe,"
心態,xin1 tai4,"attitude (of the heart), state of one's psyche, way of thinking, mentality,"
支柱,zhi1 zhu4,"mainstay, pillar, prop, backbone,"
辮子,bian4 zi5,"plait, braid, pigtail, a mistake or shortcoming that may be exploited by an opponent, handle, CL:根,條|条[tiáo],"
國務院,Guo2 wu4 yuan4,"State Council (PRC), State Department (USA),"
胸膛,xiong1 tang2,"chest,"
岳父,yue4 fu4,"wife's father, father-in-law,"
繁忙,fan2 mang2,"busy, bustling,"
寬敞,kuan1 chang5,"spacious, wide,"
民間,min2 jian1,"among the people, popular, folk, non-governmental, involving people rather than governments,"
商標,shang1 biao1,"trademark, logo,"
受罪,shou4 zui4,"to endure, to suffer, hardships, torments, a hard time, a nuisance,"
體諒,ti3 liang4,"to empathize, to allow (for something), to show understanding, to appreciate,"
無動於衷,wu2 dong4 yu2 zhong1,"aloof, indifferent, unconcerned,"
瀕臨,bin1 lin2,"on the verge of, close to,"
湊合,cou4 he5,"to bring together, to make do in a bad situation, to just get by, to improvise, passable, not too bad,"
定期,ding4 qi1,"regularly, at regular intervals,"
風味,feng1 wei4,"local flavor, local style,"
根源,gen1 yuan2,"origin, root (cause),"
過渡,guo4 du4,"to cross over (by ferry), transition, interim, caretaker (administration),"
見解,jian4 jie3,"opinion, view, understanding,"
健全,jian4 quan2,"robust, sound,"
氫,qing1,"hydrogen (chemistry),"
熨,yu4,"an iron, to iron,"
中立,zhong1 li4,"neutral,"
急切,ji2 qie4,"eager, impatient,"
開展,kai1 zhan3,"(begin to) develop, unfold, to start, to launch, to open, to carry out,"
諒解,liang4 jie3,"to understand, to make allowances for, understanding,"
臺風,tai2 feng1,"hurricane, typhoon,"
自主,zi4 zhu3,"independent, to act for oneself, autonomous,"
不時,bu4 shi2,"from time to time, now and then, occasionally,"
暢銷,chang4 xiao1,"to sell well, best seller, chart-topping,"
大肆,da4 si4,"wantonly, without restraint (of enemy or malefactor), unbridled,"
斷定,duan4 ding4,"to conclude, to determine, to come to a judgment,"
款式,kuan3 shi4,"pattern, style, design, CL:種|种[zhǒng],"
徒弟,tu2 di4,"apprentice, disciple,"
猶如,you2 ru2,"similar to, appearing to be,"
儲蓄,chu3 xu4,"to deposit money, to save, savings,"
肖像,xiao4 xiang4,"portrait,"
修建,xiu1 jian4,"to build, to construct,"
照耀,zhao4 yao4,"to shine, to illuminate,"
橙,cheng2,"orange tree, orange (color),"
可口,ke3 kou3,"tasty, to taste good,"
懶惰,lan3 duo4,"idle, lazy,"
盤旋,pan2 xuan2,"to spiral, to circle, to go around, to hover, to orbit,"
小心翼翼,xiao3 xin1 yi4 yi4,"cautious and solemn (idiom); very carefully, prudent, gently and cautiously,"
個體,ge4 ti3,"individual,"
默默,mo4 mo4,"in silence, not speaking,"
生銹,sheng1 xiu4,"to rust, to grow rusty, to corrode, oxidization,"
彈性,tan2 xing4,"flexibility, elasticity,"
題材,ti2 cai2,"subject matter,"
文物,wen2 wu4,"cultural relic, historical relic, CL:件,個|个[gè],"
糟蹋,zao1 ta4,"to waste, to defile, to abuse, to insult, to defile, to trample on, to wreck, also pr. [zāo ta],"
叼,diao1,"to hold in the mouth,"
海濱,hai3 bin1,"shore, seaside,"
就職,jiu4 zhi2,"to take office, to assume a post,"
贈送,zeng4 song4,"to present as a gift,"
二氧化碳,er4 yang3 hua4 tan4,"carbon dioxide CO2,"
輪廓,lun2 kuo4,"an outline, silhouette,"
門診,men2 zhen3,"outpatient service,"
委員,wei3 yuan2,"committee member, committee, council, CL:個|个[gè],"
無從,wu2 cong2,"not to have access, beyond one's authority or capability, sth one has no way of doing,"
演變,yan3 bian4,"to develop, to evolve,"
分明,fen1 ming2,"clearly demarcated, sharply contoured,"
規範,gui1 fan4,"norm, standard, specification, regulation, rule, within the rules, to fix rules, to regulate, to specify,"
烘,hong1,"to bake, to heat by fire, to set off by contrast,"
晉升,jin4 sheng1,"to promote to a higher position,"
靈敏,ling2 min3,"smart, clever, sensitive, keen, quick, sharp,"
不禁,bu4 jin1,"can't help (doing sth), can't refrain from,"
創立,chuang4 li4,"to establish, to set up, to found,"
鉤子,gou1 zi5,"hook,"
境界,jing4 jie4,"boundary, state, realm,"
口頭,kou3 tou2,"oral, verbal,"
氣壓,qi4 ya1,"atmospheric pressure, barometric pressure,"
恰巧,qia4 qiao3,"fortunately, unexpectedly, by coincidence,"
劇烈,ju4 lie4,"violent, acute, severe, fierce,"
情理,qing2 li3,"reason, sense,"
任性,ren4 xing4,"willful, headstrong, uninhibited,"
嚴峻,yan2 jun4,"grim, severe, rigorous,"
駐紮,zhu4 zha1,"to station, to garrison (troops),"
莊嚴,zhuang1 yan2,"stately,"
不愧,bu4 kui4,"to be worthy of, to deserve to be called, to prove oneself to be,"
充當,chong1 dang1,"to serve as, to act as, to play the role of,"
蹬,deng1,"to step on, to tread on, to wear, Taiwan pr. [dèng],"
反面,fan3 mian4,"reverse side, backside, the other side (of a problem etc), negative, bad,"
含糊,han2 hu5,"obscurity, vague,"
呼籲,hu1 yu4,"to call on (sb to do sth), to appeal (to), an appeal,"
氣勢,qi4 shi4,"imposing manner, loftiness, grandeur, energetic looks, vigor,"
辛勤,xin1 qin2,"hardworking, industrious,"
卓越,zhuo2 yue4,"outstanding, surpassing, distinguished, splendid,"
擱,ge1,"to place, to put aside, to shelve,"
公然,gong1 ran2,"openly, publicly, undisguised,"
過癮,guo4 yin3,"to satisfy a craving, to get a kick out of sth, gratifying, immensely enjoyable, satisfying, fulfilling,"
堅硬,jian1 ying4,"hard, solid,"
領悟,ling3 wu4,"to understand, to comprehend,"
篩選,shai1 xuan3,"to filter,"
週期,zhou1 qi1,"period, cycle,"
資本,zi1 ben3,"capital (economics),"
安詳,an1 xiang2,"serene,"
逢,feng2,"to meet by chance, to come across, to fawn upon,"
高超,gao1 chao1,"excellent, superlative,"
高漲,gao1 zhang3,"upsurge, (tensions etc) run high,"
寄託,ji4 tuo1,"to have sb look after sb, to entrust the care of sb, to place (hope etc) on,"
論壇,lun4 tan2,"forum (for discussion),"
齊心協力,qi2 xin1 xie2 li4,"to work with a common purpose (idiom); to make concerted efforts, to pull together, to work as one,"
上任,shang4 ren4,"to take office,"
實質,shi2 zhi4,"substance, essence,"
素質,su4 zhi4,"inner quality, basic essence, change over time,"
頑強,wan2 qiang2,"tenacious, hard to defeat,"
文憑,wen2 ping2,"diploma,"
資深,zi1 shen1,"senior (in terms of depth of accumulated experience), deeply qualified,"
倉促,cang1 cu4,"all of a sudden, hurriedly,"
鑑別,jian4 bie2,"to differentiate, to distinguish,"
蔑視,mie4 shi4,"to loathe, to despise, contempt,"
名額,ming2 e2,"quota, number of places, place (in an institution, a group etc),"
通用,tong1 yong4,"common (use), interchangeable,"
擁護,yong1 hu4,"to endorse, to support,"
鄭重,zheng4 zhong4,"serious, solemn,"
採購,cai3 gou4,"to procure (for an enterprise etc), to purchase,"
採納,cai3 na4,"to accept, to adopt,"
醜惡,chou3 e4,"ugly, repulsive,"
攪拌,jiao3 ban4,"to stir, to agitate,"
片斷,pian4 duan4,"section, fragment, segment,"
橋梁,qiao2 liang2,"bridge, fig. connection between two areas,"
著作,zhu4 zuo4,"to write, literary work, book, article, writings, CL:部[bù],"
被動,bei4 dong4,"passive,"
甭,beng2,"need not, (contraction of 不 and 用),"
機智,ji1 zhi4,"quick-witted, tact, witty, resourceful,"
踐踏,jian4 ta4,"to trample,"
密度,mi4 du4,"density, thickness,"
人道,ren2 dao4,"human sympathy, humanitarianism, humane, the ""human way"", one of the stages in the cycle of reincarnation (Buddhism), sexual intercourse,"
柔和,rou2 he2,"gentle, soft,"
尋覓,xun2 mi4,"to look for,"
大意,da4 yi4,"careless,"
花瓣,hua1 ban4,"petal, CL:片[piàn],"
領會,ling3 hui4,"to understand, to comprehend, to grasp,"
恰到好處,qia4 dao4 hao3 chu4,"it's just perfect, it's just right,"
推論,tui1 lun4,"to infer, inference, corollary, reasoned conclusion,"
走漏,zou3 lou4,"to leak (of information, liquid etc), to divulge,"
顛簸,dian1 bo3,"to shake, to jolt, to bump,"
飛躍,fei1 yue4,"to leap,"
精華,jing1 hua2,"best feature, most important part of an object, quintessence, essence, soul,"
開闊,kai1 kuo4,"wide, open (spaces), to open up,"
配備,pei4 bei4,"to allocate, to provide, to outfit with,"
調料,tiao2 liao4,"condiment, seasoning, flavoring,"
土壤,tu3 rang3,"soil,"
外行,wai4 hang2,"layman, amateur,"
陣地,zhen4 di4,"position, front,"
支出,zhi1 chu1,"to spend, to pay out, expense,"
座右銘,zuo4 you4 ming2,"motto, maxim,"
標本,biao1 ben3,"specimen, sample, the root cause and symptoms of a disease,"
兌換,dui4 huan4,"to convert, to exchange,"
分量,fen1 liang4,"quantity, weight, measure,"
理睬,li3 cai3,"to heed, to pay attention to,"
留神,liu2 shen2,"to take care, to be careful,"
凝視,ning2 shi4,"to gaze at, to fix one's eyes on,"
生態,sheng1 tai4,"way of life, ecology,"
信譽,xin4 yu4,"prestige, distinction, reputation, trust,"
對策,dui4 ce4,"countermeasure for dealing with a situation,"
黃昏,huang2 hun1,"dusk, evening, nightfall,"
揮霍,hui1 huo4,"to squander money, extravagant, prodigal, free and easy, agile,"
請教,qing3 jiao4,"to ask for guidance, to consult,"
哨,shao4,"a whistle, sentry,"
私自,si1 zi4,"private, personal, secretly, without explicit approval,"
洩氣,xie4 qi4,"to leak (gas), to be discouraged, to despair, (disparaging) pathetic, to vent one's anger, (of a tire) to be flat,"
形態,xing2 tai4,"shape, form, pattern, morphology,"
薄弱,bo2 ruo4,"weak, frail,"
還原,huan2 yuan2,"to restore to the original state, reduction (chemistry),"
精密,jing1 mi4,"accuracy, exact, precise, refined,"
牢固,lao2 gu4,"firm, secure,"
起義,qi3 yi4,"uprising, insurrection, revolt,"
全局,quan2 ju2,"overall situation,"
遺留,yi2 liu2,"(leave or be a) legacy, left over, hand down (to next generation),"
雜技,za2 ji4,"acrobatics, CL:場|场[chǎng],"
遭殃,zao1 yang1,"to suffer a calamity,"
得力,de2 li4,"able, capable, competent, efficient,"
晾,liang4,"to dry in the air,"
人為,ren2 wei2,"artificial, man-made, having human cause or origin, human attempt or effort,"
神仙,shen2 xian1,"Daoist immortal, supernatural entity, (in modern fiction) fairy, elf, leprechaun etc, fig. lighthearted person,"
提拔,ti2 ba2,"to promote to a higher job, to select for promotion,"
瓦解,wa3 jie3,"to collapse, to disintegrate, to crumble,"
顯著,xian3 zhu4,"outstanding, notable, remarkable, statistically significant,"
削弱,xue1 ruo4,"to weaken, to impair, to cripple,"
一度,yi1 du4,"for a time, at one time, one time, once,"
以致,yi3 zhi4,"to such an extent as to, down to, up to,"
鎮壓,zhen4 ya1,"suppression, repression, to suppress, to put down, to quell,"
波浪,bo1 lang4,"wave,"
裁員,cai2 yuan2,"to cut staff, to lay off employees,"
垂直,chui2 zhi2,"perpendicular, vertical,"
告辭,gao4 ci2,"to say goodbye, to take one's leave,"
悔恨,hui3 hen4,"remorse, repentance,"
結晶,jie2 jing1,"crystallization, crystalline, crystal,"
可觀,ke3 guan1,"considerable, impressive, significant,"
請柬,qing3 jian3,"invitation card, written invitation,"
數額,shu4 e2,"amount, sum of money, fixed number,"
用功,yong4 gong1,"diligent, industrious (in one's studies), to study hard, to make great effort,"
誠摯,cheng2 zhi4,"sincere, cordial,"
膽怯,dan3 qie4,"timid, cowardly,"
公式,gong1 shi4,"formula,"
局部,ju2 bu4,"part, local,"
齊全,qi2 quan2,"complete,"
陶瓷,tao2 ci2,"pottery and porcelain, ceramics,"
未免,wei4 mian3,"unavoidable, a bit too much, over the top (you exaggerate),"
指南針,zhi3 nan2 zhen1,"compass,"
搓,cuo1,"to rub or roll between the hands or fingers, to twist,"
雕刻,diao1 ke4,"to carve, to engrave, carving,"
腐朽,fu3 xiu3,"rotten, decayed, decadent, degenerate,"
公認,gong1 ren4,"publicly known (to be), accepted (as),"
規章,gui1 zhang1,"rule, regulation,"
合乎,he2 hu1,"to accord with, conforming to,"
階層,jie1 ceng2,"hierarchy, stratum,"
來歷,lai2 li4,"history, antecedents, origin,"
懸念,xuan2 nian4,"suspense in a movie, play etc, concern for sb's welfare,"
補貼,bu3 tie1,"to subsidize, subsidy, allowance,"
匪徒,fei3 tu2,"gangster, bandit,"
告誡,gao4 jie4,"to warn, to admonish,"
間隔,jian4 ge2,"compartment, gap, interval, to divide,"
交涉,jiao1 she4,"to negotiate, relating to,"
內涵,nei4 han2,"meaning, content, essential properties implied or reflected by a notion, intention, connotation, self-possessed,"
源泉,yuan2 quan2,"fountainhead, well-spring, water source, fig. origin,"
總而言之,zong3 er2 yan2 zhi1,"in short, in a word, in brief,"
阻撓,zu3 nao2,"to thwart, to obstruct (sth),"
保養,bao3 yang3,"to take good care of (or conserve) one's health, to keep in good repair, to maintain, maintenance,"
沉悶,chen2 men4,"oppressive (of weather), heavy, depressed, not happy,"
課題,ke4 ti2,"task, problem, issue,"
留戀,liu2 lian4,"reluctant to leave, to hate to have to go, to recall fondly,"
慢性,man4 xing4,"slow and patient, chronic (disease), slow to take effect (e.g. a slow poison),"
牲畜,sheng1 chu4,"domesticated animals, livestock,"
涮,shuan4,"to rinse, to trick, to fool sb, to cook by dipping finely sliced ingredients briefly in boiling water or soup (generally done at the dining table),"
歪曲,wai1 qu1,"to distort, to misrepresent,"
學歷,xue2 li4,"educational background, academic qualifications,"
巴不得,ba1 bu5 de5,"to be eager for, to long for, to look forward to,"
半途而廢,ban4 tu2 er2 fei4,"to give up halfway (idiom); leave sth unfinished,"
沉思,chen2 si1,"to contemplate, to ponder, contemplation, meditation,"
檔次,dang4 ci4,"grade, class, quality, level,"
島嶼,dao3 yu3,"island,"
立體,li4 ti3,"three-dimensional, solid, stereoscopic,"
簽訂,qian1 ding4,"to agree to and sign (a treaty etc),"
時差,shi2 cha1,"time difference, time lag, jet lag,"
衰退,shuai1 tui4,"to decline, to fall, to drop, to falter, a decline, recession (in economics),"
調解,tiao2 jie3,"to mediate, to bring parties to an agreement,"
物資,wu4 zi1,"goods, supplies,"
變質,bian4 zhi4,"to degenerate, to go bad, to deteriorate, metamorphosis,"
剝削,bo1 xue1,"to exploit, exploitation,"
對應,dui4 ying4,"to correspond, a correspondence, corresponding, homologous, matching with sth, counterpart,"
航天,hang2 tian1,"space flight,"
水龍頭,shui3 long2 tou2,"faucet, tap,"
輿論,yu2 lun4,"public opinion,"
醞釀,yun4 niang4,"(of alcohol) to ferment, (of a crisis) to be brewing, to mull over (an issue), to hold exploratory discussions,"
造反,zao4 fan3,"to rebel, to revolt,"
爭端,zheng1 duan1,"dispute, controversy, conflict,"
株,zhu1,"tree trunk, stump (tree root), a plant, classifier for trees or plants, to involve others (in shady business),"
主流,zhu3 liu2,"main stream (of a river), fig. the essential point, main viewpoint of a matter, mainstream (culture etc),"
編織,bian1 zhi1,"to weave, to knit, to plait, to braid,"
跟前,gen1 qian2,"in front of, close to, nearby, the time just before,"
槳,jiang3,"oar, paddle,"
咀嚼,ju3 jue2,"to chew, to think over,"
愣,leng4,"to look distracted, to stare blankly, distracted, blank, (coll.) unexpectedly, rash, rashly,"
誣陷,wu1 xian4,"to entrap, to frame, to plant false evidence against sb,"
無理取鬧,wu2 li3 qu3 nao4,"to make trouble without reason (idiom); to be deliberately provocative,"
報銷,bao4 xiao1,"to submit an expense account, to apply for reimbursement, to write off, to wipe out,"
敷衍,fu1 yan3,"to elaborate (on a theme), to expound (the classics), perfunctory, to skimp, to botch, to do sth half-heartedly or just for show, barely enough to get by,"
廣闊,guang3 kuo4,"wide, vast,"
考古,kao3 gu3,"archaeology,"
捆綁,kun3 bang3,"to bind,"
彌漫,mi2 man4,"variant of 彌漫|弥漫[mí màn],"
趣味,qu4 wei4,"fun, interest, delight, taste, liking, preference,"
容貌,rong2 mao4,"one's appearance, one's aspect, looks, features,"
容納,rong2 na4,"to hold, to contain, to accommodate, to tolerate (different opinions),"
天然氣,tian1 ran2 qi4,"natural gas,"
阻攔,zu3 lan2,"to stop, to obstruct,"
傳授,chuan2 shou4,"to impart, to pass on, to teach,"
朗讀,lang3 du2,"read aloud, read loudly and clearly,"
名副其實,ming2 fu4 qi2 shi2,"not just in name only, but also in reality (idiom),"
破例,po4 li4,"to make an exception,"
神情,shen2 qing2,"look, expression,"
生機,sheng1 ji1,"opportunity to live, to reprieve from death, life force, vitality,"
長輩,zhang3 bei4,"one's elders, older generation,"
租賃,zu1 lin4,"to rent, to lease, to hire,"
和睦,he2 mu4,"peaceful relations, harmonious,"
候選,hou4 xuan3,"candidate,"
就業,jiu4 ye4,"looking for employment, getting a job, to start a career,"
拘束,ju1 shu4,"to restrict, to restrain, constrained, awkward, ill at ease, uncomfortable, reticent,"
侷限,ju2 xian4,"to limit, to confine, to restrict sth within set boundaries,"
連同,lian2 tong2,"together with, along with,"
上游,shang4 you2,"upper reaches (of a river), upper level, upper echelon, upstream,"
閒話,xian2 hua4,"digression, gossip, complaint, scandal, CL:段[duàn],"
響應,xiang3 ying4,"respond to, answer, CL:個|个[gè],"
宗旨,zong1 zhi3,"objective, aim, goal,"
抱負,bao4 fu4,"aspiration, ambition,"
幹勁,gan4 jin4,"enthusiasm for doing sth,"
開朗,kai1 lang3,"spacious and well-lit, open and clear, to open out (onto a wider vista), optimistic, cheerful, carefree, easy-going, open-minded,"
口腔,kou3 qiang1,"oral cavity,"
凝固,ning2 gu4,"to freeze, to solidify, to congeal, fig. with rapt attention,"
晴朗,qing2 lang3,"sunny and cloudless,"
停頓,ting2 dun4,"to halt, to break off, pause (in speech),"
一再,yi1 zai4,"repeatedly,"
專程,zhuan1 cheng2,"special-purpose trip,"
纏繞,chan2 rao4,"twisting, to twine, to wind, to pester, to bother,"
福氣,fu2 qi5,"good fortune, to enjoy good fortune,"
更正,geng1 zheng4,"to correct, to make a correction,"
日益,ri4 yi4,"day by day, more and more, increasingly, more and more with each passing day,"
溶解,rong2 jie3,"to dissolve,"
索賠,suo3 pei2,"to ask for compensation, to claim damages, claim for damages,"
貪污,tan1 wu1,"corruption,"
傳記,zhuan4 ji4,"biography, CL:篇,部[bù],"
對稱,dui4 chen4,"symmetry, symmetrical,"
緩和,huan3 he2,"to ease (tension), to alleviate, to moderate, to allay, to make more mild,"
力所能及,li4 suo3 neng2 ji2,"as far as one's capabilities extend (idiom); to the best of one's ability, within one's powers,"
嘆氣,tan4 qi4,"to sigh, to heave a sigh,"
禿,tu1,"bald, blunt,"
盈利,ying2 li4,"profit, gain,"
曖昧,ai4 mei4,"vague, ambiguous, equivocal, dubious,"
沉著,chen2 zhuo2,"steady, calm and collected, not nervous,"
獨裁,du2 cai2,"dictatorship,"
開採,kai1 cai3,"to extract (ore or other resource from a mine), to exploit, to mine,"
惋惜,wan3 xi1,"to feel sorry for a person over sth that should have happened,"
優越,you1 yue4,"superior, superiority,"
予以,yu3 yi3,"to give, to impose, to apply,"
包庇,bao1 bi4,"to shield, to harbor, to cover up,"
條理,tiao2 li3,"arrangement, order, tidiness,"
文雅,wen2 ya3,"elegant, refined,"
鮮明,xian1 ming2,"bright, clear-cut, distinct,"
成效,cheng2 xiao4,"effect, result,"
吝嗇,lin4 se4,"stingy, mean, miserly,"
唾沫,tuo4 mo5,"spittle, saliva,"
昔日,xi1 ri4,"formerly, in olden days,"
狹窄,xia2 zhai3,"narrow,"
性能,xing4 neng2,"function, performance,"
奔波,ben1 bo1,"to rush about, to be constantly on the move,"
乘務員,cheng2 wu4 yuan2,"attendant on an airplane, train, boat etc,"
宏偉,hong2 wei3,"grand, imposing, magnificent,"
沒轍,mei2 zhe2,"(idiom) unable to solve; no way to escape a problem,"
拼搏,pin1 bo2,"to struggle, to wrestle,"
無憂無慮,wu2 you1 wu2 lu:4,"carefree and without worries (idiom),"
向來,xiang4 lai2,"always (previously),"
要素,yao4 su4,"essential factor, key constituent,"
一帆風順,yi1 fan1 feng1 shun4,"propitious wind throughout the journey (idiom), plain sailing, to go smoothly, have a nice trip!,"
勇於,yong3 yu2,"to dare to, to be brave enough to,"
孕育,yun4 yu4,"to be pregnant, to produce offspring, to nurture (a development, school of thought, artwork etc), fig. replete with (culture etc),"
莊重,zhuang1 zhong4,"grave, solemn, dignified,"
陳舊,chen2 jiu4,"old-fashioned,"
摧殘,cui1 can2,"to ravage, to ruin,"
茫茫,mang2 mang2,"boundless, vast and obscure,"
事項,shi4 xiang4,"matter, item,"
細緻,xi4 zhi4,"delicate, fine, careful, meticulous, painstaking,"
綉,xiu4,"to embroider, embroidery,"
動員,dong4 yuan2,"to mobilize, to arouse, mobilization, CL:次,個|个[gè],"
牢騷,lao2 sao1,"discontent, complaint, to complain,"
凝聚,ning2 ju4,"to condense, to coagulate, coacervation (i.e. form tiny droplets), aggregation, coherent,"
攀登,pan1 deng1,"to climb, to pull oneself up, to clamber, to scale, fig. to forge ahead in the face of hardships and danger,"
運算,yun4 suan4,"(mathematical) operation,"
次序,ci4 xu4,"sequence, order,"
復興,Fu4 xing1,"to revive, to rejuvenate,"
急躁,ji2 zao4,"irritable, irascible, impetuous,"
尖端,jian1 duan1,"sharp pointed end, the tip, the cusp, tip-top, most advanced and sophisticated, highest peak, the best,"
流通,liu2 tong1,"to circulate, to distribute, circulation, distribution,"
批判,pi1 pan4,"to criticize, critique, CL:個|个[gè],"
思索,si1 suo3,"to think deeply, to ponder,"
夕陽,xi1 yang2,"sunset, the setting sun,"
才幹,cai2 gan4,"ability, competence,"
發炎,fa1 yan2,"to become inflamed, inflammation,"
屏障,ping2 zhang4,"protective screen,"
謙遜,qian1 xun4,"humble, modest, unpretentious, modesty,"
缺口,que1 kou3,"nick, jag, gap, shortfall,"
嫂子,sao3 zi5,"(informal) older brother's wife, sister-in-law, CL:個|个[gè],"
率領,shuai4 ling3,"to lead, to command, to head,"
隨手,sui2 shou3,"conveniently, without extra trouble, while doing it, in passing,"
無非,wu2 fei1,"only, nothing else,"
現成,xian4 cheng2,"ready-made, readily available,"
愚昧,yu2 mei4,"ignorant, uneducated,"
樂譜,yue4 pu3,"a musical score, sheet music,"
展望,zhan3 wang4,"outlook, prospect, to look ahead, to look forward to,"
遲疑,chi2 yi2,"to hesitate,"
驚動,jing1 dong4,"alarm, alert, disturb,"
茫然,mang2 ran2,"blankly, vacantly, at a loss,"
遷徙,qian1 xi3,"to migrate, to move,"
曲折,qu1 zhe2,"complicated, winding,"
滔滔不絕,tao1 tao1 bu4 jue2,"unceasing torrent (idiom), talking non-stop, gabbling forty to the dozen,"
性情,xing4 qing2,"nature, temperament,"
壓縮,ya1 suo1,"to compress, compression,"
甘心,gan1 xin1,"to be willing to, to resign oneself to,"
鞏固,gong3 gu4,"to consolidate, consolidation, to strengthen,"
覺醒,jue2 xing3,"to awaken, to come to realize, awakened to the truth, the truth dawns upon one, scales fall from the eyes, to become aware,"
深沉,shen1 chen2,"deep, extreme, dull, low pitched (sound),"
示意,shi4 yi4,"to hint, to indicate (an idea to sb),"
敗壞,bai4 huai4,"to ruin, to corrupt, to undermine,"
闡述,chan3 shu4,"to expound (a position), to elaborate (on a topic), to treat (a subject),"
泛濫,fan4 lan4,"to be in flood, to overflow (the banks), to inundate, to spread unchecked,"
方言,Fang1 yan2,"dialect,"
過問,guo4 wen4,"to show an interest in, to get involved with,"
耗費,hao4 fei4,"to waste, to spend, to consume, to squander,"
培育,pei2 yu4,"to train, to breed,"
請帖,qing3 tie3,"invitation card, written invitation,"
適宜,shi4 yi2,"suitable, appropriate,"
停滯,ting2 zhi4,"stagnation, at a standstill, bogged down,"
押金,ya1 jin1,"deposit, down payment,"
嚴禁,yan2 jin4,"strictly prohibit,"
奧祕,ao4 mi4,"secret, mystery,"
表彰,biao3 zhang1,"to honor, to commend, to cite (in dispatches),"
打量,da3 liang5,"to size sb up, to take measure of, to suppose, to reckon,"
劃分,hua4 fen1,"to divide,"
焦急,jiao1 ji2,"anxiety, anxious,"
牽制,qian1 zhi4,"to control, to curb, to restrict, to impede, to pin down (enemy troops),"
權衡,quan2 heng2,"to weigh, to consider, to assess, to balance, to trade-off,"
若干,ruo4 gan1,"a certain number or amount, how many?, how much?,"
響亮,xiang3 liang4,"loud and clear, resounding,"
炎熱,yan2 re4,"blistering hot, sizzling hot (weather),"
應酬,ying4 chou5,"social niceties, social interaction, a dinner party,"
轉折,zhuan3 zhe2,"shift in the trend of events, plot shift in a book, twists and turns,"
背誦,bei4 song4,"recite, repeat from memory,"
當務之急,dang1 wu4 zhi1 ji2,"top priority job, matter of vital importance,"
對立,dui4 li4,"to oppose, to set sth against, to be antagonistic to, antithetical, relative opposite, opposing, diametrical,"
附屬,fu4 shu3,"subsidiary, auxiliary, attached, affiliated, subordinate, subordinating,"
盛開,sheng4 kai1,"blooming, in full flower,"
毅力,yi4 li4,"perseverance, willpower,"
增添,zeng1 tian1,"to add, to increase,"
自卑,zi4 bei1,"feeling inferior, self-abased,"
腹瀉,fu4 xie4,"diarrhea, to have the runs,"
隔閡,ge2 he2,"estrangement,"
後勤,hou4 qin2,"logistics,"
堅實,jian1 shi2,"firm and substantial, solid,"
譬如,pi4 ru2,"for example, for instance, such as,"
啟事,qi3 shi4,"announcement (written, on billboard, letter, newspaper or website), to post information, a notice,"
妥善,tuo3 shan4,"appropriate, proper,"
庸俗,yong1 su2,"filthy, vulgar, debased,"
指標,zhi3 biao1,"norm, index, target,"
